trip_id,departure_time,trip_time,score
11119418-BPPA6-BP_A6-Weekday-10,15:21:00,40,0
11119483-BPPA6-BP_A6-Weekday-10,23:15:00,31,-9
11119501-BPPA6-BP_A6-Weekday-10,01:35:00,30,-10
11119507-BPPA6-BP_A6-Weekday-10,07:32:00,44,4
11119514-BPPA6-BP_A6-Weekday-10,04:35:00,31,-9
11119516-BPPA6-BP_A6-Weekday-10,05:55:00,38,-2
11119518-BPPA6-BP_A6-Weekday-10,07:14:00,44,4
11119549-BPPA6-BP_A6-Weekday-10,06:40:00,41,1
11119551-BPPA6-BP_A6-Weekday-10,05:45:00,38,-2
11119559-BPPA6-BP_A6-Weekday-10,06:56:00,43,3
11119561-BPPA6-BP_A6-Weekday-10,06:05:00,38,-2
11119567-BPPA6-BP_A6-Weekday-10,06:15:00,38,-2
11119573-BPPA6-BP_A6-Weekday-10,06:25:00,39,-1
11119575-BPPA6-BP_A6-Weekday-10,07:38:00,44,4
11119579-BPPA6-BP_A6-Weekday-10,10:18:00,39,-1
11119581-BPPA6-BP_A6-Weekday-10,11:55:00,39,-1
11119588-BPPA6-BP_A6-Weekday-10,06:35:00,41,1
11119590-BPPA6-BP_A6-Weekday-10,07:50:00,44,4
11119592-BPPA6-BP_A6-Weekday-10,09:32:00,39,-1
11119594-BPPA6-BP_A6-Weekday-10,11:10:00,39,-1
11119596-BPPA6-BP_A6-Weekday-10,12:47:00,39,-1
11119598-BPPA6-BP_A6-Weekday-10,14:25:00,39,-1
11119607-BPPA6-BP_A6-Weekday-10,07:44:00,44,4
11119609-BPPA6-BP_A6-Weekday-10,09:12:00,39,-1
11119631-BPPA6-BP_A6-Weekday-10,06:45:00,41,1
11119637-BPPA6-BP_A6-Weekday-10,07:56:00,44,4
11119641-BPPA6-BP_A6-Weekday-10,10:50:00,39,-1
11119643-BPPA6-BP_A6-Weekday-10,12:28:00,39,-1
11119645-BPPA6-BP_A6-Weekday-10,14:05:00,39,-1
11119649-BPPA6-BP_A6-Weekday-10,06:53:00,43,3
11119651-BPPA6-BP_A6-Weekday-10,08:32:00,43,3
11119653-BPPA6-BP_A6-Weekday-10,10:11:00,39,-1
11119655-BPPA6-BP_A6-Weekday-10,11:49:00,39,-1
11119657-BPPA6-BP_A6-Weekday-10,13:26:00,39,-1
11119659-BPPA6-BP_A6-Weekday-10,15:03:00,40,0
11119663-BPPA6-BP_A6-Weekday-10,17:30:00,40,0
11119673-BPPA6-BP_A6-Weekday-10,11:29:00,39,-1
11119675-BPPA6-BP_A6-Weekday-10,13:07:00,39,-1
11119677-BPPA6-BP_A6-Weekday-10,14:50:00,40,0
11119699-BPPA6-BP_A6-Weekday-10,09:22:00,39,-1
11119701-BPPA6-BP_A6-Weekday-10,10:57:00,39,-1
11119703-BPPA6-BP_A6-Weekday-10,12:34:00,39,-1
11119705-BPPA6-BP_A6-Weekday-10,14:12:00,39,-1
11119709-BPPA6-BP_A6-Weekday-10,06:59:00,43,3
11119711-BPPA6-BP_A6-Weekday-10,08:16:00,44,4
11119715-BPPA6-BP_A6-Weekday-10,10:31:00,39,-1
11119717-BPPA6-BP_A6-Weekday-10,12:08:00,39,-1
