JFK/N Boundary Rd,Rockaway Blv/147 Av,Rockaway Blv/Sutphin Blv,Sutphin Blv/Linden Blv,Sutphin Blv/Archer Blv,165 St Terminal
0:25,0:29,0:35,0:39,0:45,0:50
0:55,0:59,1:05,1:09,1:15,1:20
1:25,1:29,1:35,1:39,1:45,1:50
1:55,1:59,2:05,2:09,2:15,2:20
2:25,2:29,2:35,2:39,2:45,2:50
2:55,2:59,3:05,3:09,3:15,3:20
3:25,3:29,3:35,3:39,3:45,3:50
3:55,3:59,4:05,4:10,4:17,4:22
4:25,4:30,4:37,4:42,4:49,4:54
4:55,5:00,5:07,5:12,5:19,5:24
5:15,5:20,5:27,5:32,5:39,5:44
5:30,5:35,5:42,5:47,5:54,5:59
5:40,5:45,5:52,5:57,6:04,6:09
None,5:47,5:54,5:59,6:06,6:11
5:50,5:55,6:02,6:08,6:18,6:23
None,5:57,6:04,6:10,6:20,6:25
6:00,6:04,6:12,6:17,6:26,6:32
None,6:05,6:12,6:18,6:28,None
6:05,6:11,6:18,6:24,6:34,6:40
6:10,6:14,6:22,6:27,6:36,6:42
None,6:15,6:22,6:28,6:38,None
6:15,6:21,6:28,6:34,6:44,6:50
6:20,6:24,6:32,6:37,6:48,6:54
None,6:25,6:32,6:39,6:49,None
6:25,6:31,6:40,6:47,6:57,7:03
6:30,6:36,6:45,6:50,7:01,7:07
None,6:35,6:44,6:51,7:01,None
6:35,6:40,6:49,6:56,7:06,7:12
None,None,6:53,7:00,7:10,None
6:40,6:46,6:55,7:00,7:11,7:17
6:45,6:50,6:59,7:06,7:16,7:22
None,None,7:00,7:07,7:17,None
None,None,7:03,7:10,7:20,None
6:50,6:56,7:05,7:10,7:21,7:27
6:55,7:00,7:09,7:16,7:26,7:32
None,7:02,7:11,7:18,7:28,None
7:00,7:06,7:15,7:20,7:31,7:37
None,None,7:14,7:21,7:31,None
7:05,7:10,7:19,7:26,7:36,7:44
None,7:10,7:19,7:26,7:36,None
None,7:13,7:22,7:29,7:39,None
7:10,7:16,7:25,7:30,7:41,7:47
7:15,7:20,7:29,7:36,7:47,7:55
None,None,7:30,7:37,7:48,None
7:20,7:26,7:35,7:40,7:51,7:57
None,None,7:34,7:41,7:52,None
7:25,7:30,7:39,7:46,7:57,8:05
7:30,7:36,7:45,7:50,8:01,8:07
None,None,7:44,7:51,8:02,None
7:35,7:41,7:50,7:57,8:08,8:16
7:40,7:46,7:55,8:00,8:11,8:17
None,None,7:53,8:00,8:11,None
7:45,7:51,8:00,8:07,8:18,8:26
7:50,7:56,8:05,8:10,8:21,8:27
None,None,8:03,8:10,8:21,None
7:55,8:01,8:10,8:17,8:28,8:36
8:00,8:06,8:15,8:20,8:31,8:37
None,None,8:13,8:20,8:31,None
8:05,8:11,8:20,8:27,8:38,8:46
8:10,8:16,8:25,8:30,8:41,8:47
None,None,8:23,8:30,8:41,None
8:15,8:21,8:30,8:37,8:48,8:56
8:20,8:26,8:35,8:40,8:51,8:57
None,None,8:33,8:40,8:51,None
8:25,8:31,8:40,8:47,8:58,9:06
8:30,8:36,8:45,8:50,9:01,9:07
None,None,8:44,8:51,9:02,None
8:35,8:41,8:50,8:57,9:08,9:16
None,None,8:52,8:59,9:10,None
8:45,8:51,9:00,9:07,9:18,9:26
None,None,9:02,9:09,9:20,None
8:55,9:01,9:10,9:17,9:28,9:36
None,None,9:12,9:19,9:30,None
9:05,9:11,9:20,9:27,9:38,9:46
9:15,9:21,9:30,9:37,9:48,9:56
9:25,9:31,9:40,9:47,9:58,10:06
9:35,9:41,9:50,9:57,10:08,10:16
9:45,9:51,10:00,10:07,10:18,10:26
9:55,10:01,10:10,10:17,10:28,10:36
10:05,10:11,10:20,10:27,10:38,10:46
10:15,10:21,10:30,10:37,10:48,10:56
10:25,10:31,10:40,10:47,10:58,11:06
10:35,10:41,10:50,10:57,11:08,11:16
10:45,10:51,11:00,11:07,11:18,11:26
10:55,11:01,11:10,11:17,11:28,11:36
11:05,11:11,11:20,11:27,11:38,11:46
11:15,11:21,11:30,11:37,11:48,11:56
11:25,11:31,11:40,11:47,11:58,12:06
11:35,11:41,11:50,11:57,12:08,12:16
11:45,11:51,12:00,12:07,12:18,12:26
11:55,12:01,12:10,12:17,12:28,12:36
12:05,12:11,12:20,12:27,12:38,12:46
12:15,12:21,12:30,12:37,12:48,12:56
12:25,12:31,12:40,12:47,12:58,13:06
12:35,12:41,12:50,12:57,13:08,13:16
12:45,12:51,13:00,13:07,13:18,13:26
12:55,13:01,13:10,13:17,13:28,13:36
13:05,13:11,13:20,13:27,13:38,13:46
13:15,13:21,13:30,13:37,13:48,13:56
13:25,13:31,13:40,13:47,13:58,14:06
13:35,13:41,13:50,13:57,14:08,14:19
13:45,13:51,14:00,14:08,14:19,14:30
13:55,14:01,14:09,14:17,14:28,14:39
14:05,14:09,14:17,14:25,14:36,14:47
14:15,14:19,14:27,14:35,14:46,14:57
14:25,14:29,14:37,14:45,14:56,15:07
14:35,14:39,14:47,14:55,15:06,15:17
14:45,14:49,14:57,15:05,15:16,15:27
14:55,14:59,15:07,15:15,15:26,15:37
15:05,15:09,15:17,15:25,15:36,15:47
15:15,15:19,15:27,15:35,15:46,15:57
15:25,15:29,15:37,15:45,15:56,16:07
15:35,15:39,15:47,15:55,16:06,16:17
15:45,15:49,15:57,16:05,16:16,16:27
15:55,15:59,16:07,16:15,16:26,16:37
16:05,16:09,16:17,16:25,16:36,16:47
16:15,16:19,16:27,16:35,16:46,16:57
16:25,16:29,16:37,16:45,16:56,17:07
16:35,16:39,16:47,16:55,17:06,17:17
16:45,16:49,16:57,17:05,17:16,17:27
16:55,16:59,17:07,17:15,17:26,17:37
17:05,17:09,17:17,17:25,17:36,17:47
17:15,17:19,17:27,17:35,17:46,17:57
17:25,17:29,17:37,17:45,17:56,18:07
17:35,17:39,17:47,17:55,18:06,18:17
17:45,17:49,17:57,18:05,18:16,18:27
17:55,17:59,18:07,18:15,18:26,18:37
18:05,18:09,18:17,18:25,18:36,18:45
18:20,18:24,18:32,18:38,18:47,18:56
18:35,18:40,18:48,18:54,19:03,19:12
18:50,18:55,19:03,19:09,19:18,19:27
19:05,19:10,19:18,19:24,19:33,19:42
19:20,19:25,19:33,19:39,19:48,19:57
19:35,19:40,19:48,19:54,20:03,20:10
19:55,20:00,20:07,20:12,20:21,20:28
20:15,20:20,20:27,20:32,20:41,20:48
20:35,20:40,20:47,20:52,21:01,21:07
20:55,21:00,21:07,21:12,21:19,21:25
21:15,21:20,21:27,21:32,21:39,21:45
21:35,21:40,21:47,21:52,21:59,22:05
21:55,22:00,22:07,22:12,22:19,22:25
22:25,22:30,22:37,22:42,22:49,22:55
22:55,23:00,23:07,23:12,23:19,23:25
23:25,23:30,23:37,23:42,23:49,23:55
23:55,0:00,0:06,0:10,0:16,0:21
